family_id,nome_familia_provisorio,aplicacao,categoria_editorial,tipo_de_relacao,evidencia,nivel_de_confianca,status
FAM-001,Agulhas descartáveis,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-001,Agulhas descartáveis,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-001,Agulhas descartáveis,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-002,Agulhas inox reutilizáveis,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-003,Agulhas quadradas,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-004,Agulhas para aplicador de vacina,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-005,Seringas automáticas de fluxo contínuo,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-006,Seringas automáticas duplas,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-007,Vacinadoras com porta-frasco,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,manutenção,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,manutenção,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-008,Kits de reparo para seringas automáticas,manutenção,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,aplicação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,aplicação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-009,Seringas descartáveis,aplicação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-010,Seringas automáticas de precisão (linha importada),vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,vacinação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,vacinação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-011,Cilindros graduados para seringas automáticas,vacinação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,reposição,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,reposição,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-012,Componentes e reposição para seringas automáticas,reposição,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-013,Equipos para aplicação e infusão,aplicação,Vacinação e aplicação,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-013,Equipos para aplicação e infusão,aplicação,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-013,Equipos para aplicação e infusão,aplicação,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,pulverização,Equipamentos e manutenção,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,pulverização,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-014,Bicos pulverizadores,pulverização,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,circulação de fluidos,Equipamentos e manutenção,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,circulação de fluidos,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-015,Tubulações e mangueiras,circulação de fluidos,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,circulação de fluidos,Equipamentos e manutenção,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,circulação de fluidos,Guias e boas práticas,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
FAM-016,Conexões em L,circulação de fluidos,Produtos e aplicações,RECOMENDADA,derivada da categoria de produto; nenhuma fonte declara relacao editorial,MEDIA,PROPOSTA_PENDENTE_DE_APROVAÇÃO
